,Planilha Financeira do Condomínio:,,FERNANDO LONA,,,,,,,,,
,Responsável:,,crisjessi10@icloud.com,,,Ano de Referência:,2024,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mês,Janeiro/2024,Fevereiro/2024,Março/2024,Abril/2024,Maio/2024,Junho/2024,Julho/2024,Agosto/2024,Setembro/2024,Outubro/2024,Novembro/2024,Dezembro/2024
SALDO Total (Caixa),"R$0,00","R$0,00","R$393,46","R$301,13","R$637,75","R$1.530,22","R$2.030,22","R$2.460,27","R$2.832,60","R$3.177,30","R$3.363,27","R$3.817,17"
,,,,,,,,,,,,
RECEITAS,"R$0,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00"
Cotas Condominiais (Até dia 08),"R$0,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00","R$600,00"
Rendimentos,"R$0,00",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
DESPESAS FIXAS,"R$0,00",,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
Outras,,,,,,,,,,,,
,,,,,,,,,,,,
DESPESAS VARIÁVEIS,"R$0,00","R$126,72","R$335,63","R$263,38","R$100,00","R$207,53","R$100,00","R$169,95","R$227,67","R$131,46","R$240,23","R$135,60"
Água (venc. Dia 10),"R$0,00","R$72,05","R$235,63","R$61,59",,,,"R$76,62","R$76,30","R$76,30","R$76,30","R$76,30"
Luz  (venc. Dia 21),"R$0,00","R$54,67","R$0,00","R$101,79","R$0,00","R$107,53","R$0,00","R$93,33","R$51,37","R$55,16","R$63,93","R$59,30"
Faxina ,"R$0,00","R$0,00","R$100,00","R$100,00","R$100,00","R$100,00","R$100,00",,"R$100,00",,"R$100,00",
,,,,,,,,,,,,
DESPESAS EXTRAS,"R$0,00","R$79,82","R$356,70","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$123,84","R$0,00","R$173,80","R$10,50"
Obras,"R$0,00","R$0,00","R$180,00",,,,,,,,,
Consertos,"R$0,00",,,,,,,,,,,
Outras,"R$0,00","R$79,82","R$ 176,70",,,,,,"R$123,84",,"R$173,80","R$10,50"
,,,,,,,,,,,,
SALDO DETALHADO - BALANCETE,,,,,,,,,,,,
Receitas,"R$0,00","R$600,00","R$993,46","R$901,13","R$1.237,75","R$1.737,75","R$2.130,22","R$2.630,22","R$3.060,27","R$3.308,76","R$3.777,30","R$3.963,27"
Rendimento,"R$0,00",,,,"R$0,00","R$0,00","R$0,00","R$0,00",,,"R$0,00",
Despesas Variáveis,"R$0,00","R$126,72","R$335,63","R$263,38","R$100,00","R$207,53","R$100,00","R$169,95","R$227,67","R$131,46","R$240,23","R$135,60"
Despesas Extras,"R$0,00","R$79,82","R$356,70","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$123,84","R$0,00","R$173,80","R$10,50"
Saldo do Mês,"R$0,00","R$393,46","R$301,13","R$637,75","R$1.137,75","R$1.530,22","R$2.030,22","R$2.460,27","R$2.708,76","R$3.177,30","R$3.363,27","R$3.817,17"
